franchiseID,franchiseCity,franchiseNickname
Chc,Chicago,Cubs
Mil,Milwaukee,Brewers
Min,Minnesota,Twins
Tor,Toronto,Blue Jays
Cle,Cleveland,Indians
St.,St. Louis,Cardinals
Chw,Chicago,White Sox
Oak,Oakland,A's
Laa,Los Angeles,Angels
Nyy,New York,Yankees
Nym,New York,Mets
Was,Washington,Nationals
Phi,Philadelphia,Phillies
Sdp,San Diego,Padres
Lad,Los Angeles,Dodgers
Kan,Kansas City,Royals
Sfg,San Francisco,Giants
Atl,Atlanta,Braves
Bos,Boston,Red Sox
Det,Detroit,Tigers
Cin,Cincinnati,Reds
Flo,Florida,Marlins
Tam,Tampa Bay,Rays
Bal,Baltimore,Orioles
Col,Colorado,Rockies
Tex,Texas,Rangers
Hou,Houston,Astros
Sea,Seattle,Mariners
Ari,Arizona,Diamondbacks
Pit,Pittsburgh,Pirates
Mlt,Multiple Teams,Multiple Teams
None,None,None
